"spa-type";"Year";"Animals (N)";"Total_animal";"Food (N)";"Total_food"
"t3841";2024;NA;0;"Meat from turkey(8)";8
"t304";2024;NA;0;"Crustaceans(6)";6
"t8425";2024;NA;0;"Meat from turkey(4)";4
"t189";2024;NA;0;"Crustaceans(2)";2
"t130";2024;NA;0;"Meat from broilers (Gallus gallus)(1)";1
"t1309";2024;NA;0;"Crustaceans(1)";1
"t1849";2024;NA;0;"Crustaceans(1)";1
"t21860";2024;NA;0;"Crustaceans(1)";1
"t21897";2024;NA;0;"Crustaceans(1)";1
"t376";2024;NA;0;"Crustaceans(1)";1
"t045";2024;NA;0;"Crustaceans(1)";1
"t4652";2023;"Pigs(1)";1;NA;0
"t5229";2024;NA;0;"Crustaceans(1)";1
"t693";2024;NA;0;"Meat from turkey(1)";1
